"subawardee_name","average_subaward_amount","subawardee_business_types"
"A. P. I. INCORPORATED",10.7724368203679,"Veteran Owned Business"
"ADVANCED THERMAL BATTERIES INC.",11.8449592949925,"Foreign Owned and Located"
"AEROSPEC",11.7518557475163,"Veteran Owned Business"
"AEROSPEC",11.7518557475163,"Veteran Owned Business"
"ALLCOMP INC.",11.3113826432848,"Minority-Owned business"
"ALLCOMP INC.",11.3113826432848,"Minority-Owned business"
"CAID INDUSTRIES, INC",11.6839669738957,"Foreign Owned and Located"
"CARLETON TECHNOLOGIES INC",10.8197782844103,"Foreign Owned and Located"
"COBHAM MISSION SYSTEMS ORCHARD PARK INC.",10.8197782844103,"Foreign Owned and Located"
"DESIGNLINX HARDWARE SOLUTIONS,",12.9116423460887,"Veteran Owned Business"
"ELEMENT MATERIALS TECHNOLOGY CINCINNATI INC.",10.7501494964856,"Foreign Owned and Located"
"HERLEY INDUSTRIES",12.406737431884,"Foreign Owned and Located"
"JANSEN'S AIRCRAFT SYSTEMS CONTROLS",13.6039494207721,"Woman-Owned Business"
"KIRSH MANUFACTURING",11.8049978857233,"Minority-Owned business"
"MEASUREMENT SPECIALTIES",11.8738115296804,"Foreign Owned and Located"
"NICOMATIC",10.1495269813272,"Foreign Owned and Located"
"PARALLEL VENTURES",10.3675045475939,"Woman-Owned Business"
"PORT ELECTRONICS",12.0774002858044,"Minority-Owned business"
"PORT ELECTRONICS",12.0774002858044,"Minority-Owned business"
"PORT ELECTRONICS",12.0774002858044,"Minority-Owned business"
"PORT ELECTRONICS",12.0774002858044,"Veteran Owned Business"
"PORT ELECTRONICS",12.0774002858044,"Veteran Owned Business"
"PORT ELECTRONICS",12.0774002858044,"Woman-Owned Business"
"PROMAT INC",10.3773690697124,"Foreign Owned and Located"
"SHELLI INDUSTRIES",10.3181105984291,"Woman-Owned Business"
"SOUTHERN GEAR & MACHINE",11.5338875505537,"Veteran Owned Business"
"STANLEY MACHINING & TOOL",11.1746171802074,"Woman-Owned Business"
"TEVET,",10.9727740118224,"Veteran Owned Business"
"TEVET,",10.9727740118224,"Veteran Owned Business"
